Parameter,Default,Optimized,Ratio (Opt/Default),Log10(Default),Log10(Optimized),Log10 Change
LDLR_init_base,1000.0,716.9584303235215,0.7169584303235215,3.0,2.855493975745241,-0.1445060242547589
k_endo_base,2.0,3.759520330962593,1.8797601654812965,0.3010299956639812,0.5751324377720981,0.2741024421081169
k_off_endo_base,50.0,56.38309079798853,1.1276618159597707,1.6989700043360187,1.751148879263838,0.05217887492781936
k_recycle_ldlr_base,3.0,3.5092936519924116,1.1697645506641372,0.47712125471966244,0.5452197107927625,0.06809845607310011
k_lyso_ldl_base,3.0,7.020800644185275,2.3402668813950918,0.47712125471966244,0.8463866414067777,0.3692653866871152
k_degrade_ldl_base,5.0,11.28769850186064,2.2575397003721283,0.6989700043360189,1.0526054007527652,0.35363539641674635
k_off_surf,1.0,0.16024568275332765,0.16024568275332765,0.0,-0.7952136621627399,-0.7952136621627399
